subject,feature_set,classifier,accuracy,f1_macro,best_params
A01,time,LDA,0.3275862068965517,0.32585094549499444,"{'classifier__shrinkage': 0.1, 'classifier__solver': 'lsqr'}"
A01,time,SVM,0.39655172413793105,0.3839544513457557,"{'classifier__C': 0.1, 'classifier__gamma': 'scale', 'classifier__kernel': 'linear'}"
A01,time,RandomForest,0.3793103448275862,0.3739545997610514,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 50}"
A01,time,MLP,0.3275862068965517,0.32562111801242233,"{'classifier__activation': 'relu', 'classifier__alpha': 0.01, 'classifier__hidden_layer_sizes': (50, 50), 'classifier__learning_rate': 'constant'}"
A01,time,Ensemble,0.3448275862068966,0.34089798850574715,N/A
A01,erd_ers,LDA,0.46551724137931033,0.4562889812889813,"{'classifier__shrinkage': None, 'classifier__solver': 'svd'}"
A01,erd_ers,SVM,0.43103448275862066,0.42909742587161936,"{'classifier__C': 10, 'classifier__gamma': 'scale', 'classifier__kernel': 'linear'}"
A01,erd_ers,RandomForest,0.29310344827586204,0.29479377958079783,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 50}"
A01,erd_ers,MLP,0.3793103448275862,0.37761432116270827,"{'classifier__activation': 'relu', 'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (50,), 'classifier__learning_rate': 'constant'}"
A01,erd_ers,Ensemble,0.43103448275862066,0.4286343800804312,N/A
A01,bandpower,LDA,0.6896551724137931,0.6875161875161875,"{'classifier__shrinkage': None, 'classifier__solver': 'svd'}"
A01,bandpower,SVM,0.603448275862069,0.6086309523809523,"{'classifier__C': 10, 'classifier__gamma': 'scale', 'classifier__kernel': 'linear'}"
A01,bandpower,RandomForest,0.5,0.46980676328502413,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}"
